15 a 17 - Taxa de Mortalidade por Neoplasias 
Tx Mort Total Neoplasias por Município e Ano
Período:2018
"Município";"2018";"Total"
"355340 Tanabi";172,51;172,51
"355350 Tapiraí";142,27;142,27
"355360 Tapiratiba";150,47;150,47
"355365 Taquaral";72,91;72,91
"355370 Taquaritinga";148,95;148,95
"355380 Taquarituba";91,19;91,19
"355385 Taquarivaí";106,72;106,72
"355390 Tarabai";126,14;126,14
"355395 Tarumã";124,76;124,76
"355400 Tatuí";136,95;136,95
"355410 Taubaté";137,81;137,81
"355420 Tejupá";169,96;169,96
"355430 Teodoro Sampaio";121,52;121,52
"355440 Terra Roxa";122,24;122,24
"355450 Tietê";109,33;109,33
"355460 Timburi";311,04;311,04
"355465 Torre de Pedra";260,08;260,08
"355470 Torrinha";176,44;176,44
"355475 Trabiju";59,88;59,88
"355480 Tremembé";99,85;99,85
"355490 Três Fronteiras";181,00;181,00
"355495 Tuiuti";139,77;139,77
"355500 Tupã";177,92;177,92
"355510 Tupi Paulista";161,85;161,85
"355520 Turiúba";0,00;0,00
"355530 Turmalina";217,86;217,86
"355535 Ubarana";84,55;84,55
"355540 Ubatuba";103,60;103,60
"355550 Ubirajara";43,33;43,33
"355560 Uchoa";145,15;145,15
"355570 União Paulista";175,23;175,23
"355580 Urânia";300,23;300,23
"355590 Uru";164,88;164,88
"355600 Urupês";191,12;191,12
"355610 Valentim Gentil";88,47;88,47
"355620 Valinhos";131,35;131,35
"355630 Valparaíso";109,65;109,65
"355635 Vargem";30,73;30,73
"355640 Vargem Grande do Sul";192,33;192,33
"355645 Vargem Grande Paulista";100,40;100,40
"355650 Várzea Paulista";71,17;71,17
"355660 Vera Cruz";227,19;227,19
"355670 Vinhedo";133,59;133,59
"355680 Viradouro";137,76;137,76
"355690 Vista Alegre do Alto";89,72;89,72
"355695 Vitória Brasil";170,84;170,84
"355700 Votorantim";113,91;113,91
"355710 Votuporanga";145,97;145,97
"355715 Zacarias";39,71;39,71
"350000 Município ignorado - SP";...;...
"Total";128,42;128,42
 Fonte:
 Óbitos: 2000 - 2010 - Base Unificada de Óbitos - SESSP/FSEADE
  &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp A partir de 2011 - Sistema de Informações sobre Mortalidade - SIM/CCD/SESSP
 População: Estimativas - Fundação SEADE.
 Nota:
 
 1. Taxa de mortalidade: N.º de óbitos (feminino/masculino) por neoplasia maligna, por 100 mil habitantes (feminino/masculino).
 2. 2020 a 2022 - dados preliminares.
 3. Atualizada as bases de 2020 a 2022 - referência Março/2023. 
 Atualizado em 14/04/2023. 
